Date,Step,exam_week
22/09/2024, 9242, 0
23/09/2024, 6059, 0
24/09/2024, 7079, 0
25/09/2024, 4183, 0
26/09/2024, 6798, 0
27/09/2024, 6388, 0
28/09/2024, 31, 0
29/09/2024, 2604, 0
30/09/2024, 6533, 0
01/10/2024, 2428, 0
02/10/2024, 3837, 0
03/10/2024, 6796, 0
04/10/2024, 8515, 0
05/10/2024, 1768, 0
06/10/2024, 47, 0
07/10/2024, 8791, 0
08/10/2024, 3399, 0
09/10/2024, 5195, 0
10/10/2024, 6369, 0
11/10/2024, 5733, 0
12/10/2024, 1037, 0
13/10/2024, 1721, 0
14/10/2024, 8247, 0
15/10/2024, 3467, 0
16/10/2024, 3307, 0
17/10/2024, 9560, 0
18/10/2024, 7394, 0
19/10/2024, 3148, 0
20/10/2024, 46, 0
21/10/2024, 9706, 0
22/10/2024, 2568, 0
23/10/2024, 3394, 0
24/10/2024, 3310, 0
25/10/2024, 8579, 0
26/10/2024, 7302, 0
27/10/2024, 8, 0
28/10/2024, 6126, 1
29/10/2024, 3569, 1
30/10/2024, 3551, 1
31/10/2024, 6102, 1
01/11/2024, 3956, 1
02/11/2024, 2136, 1
03/11/2024, 9695, 1
04/11/2024, 8539, 1
05/11/2024, 2875, 1
06/11/2024, 7974, 1
07/11/2024, 8038, 1
08/11/2024, 3719, 1
09/11/2024, 1616, 1
10/11/2024, 6723, 1
11/11/2024, 7271, 1
12/11/2024, 3155, 1
13/11/2024, 3775, 1
14/11/2024, 1989, 1
15/11/2024, 1215, 1
16/11/2024, 6776, 1
17/11/2024, 4222, 0
18/11/2024, 11247, 0
19/11/2024, 7506, 0
20/11/2024, 10766, 0
21/11/2024, 7352, 0
22/11/2024, 8448, 0
23/11/2024, 136, 0
24/11/2024, 17357, 0
25/11/2024, 7640, 0
26/11/2024, 5650, 0
27/11/2024, 5686, 0
28/11/2024, 7901, 0
29/11/2024, 4095, 1
30/11/2024, 5271, 1
01/12/2024, 5422, 1
02/12/2024, 8256, 0
03/12/2024, 5465, 0
04/12/2024, 7592, 1
05/12/2024, 4717, 1
06/12/2024, 2265, 1
07/12/2024, 2792, 1
08/12/2024, 401, 0
09/12/2024, 18954, 0
10/12/2024, 4467, 0
11/12/2024, 8050, 0
12/12/2024, 46, 1
13/12/2024, 2292, 1
14/12/2024, 4216, 1
15/12/2024, 1079, 0
16/12/2024, 11698, 0
17/12/2024, 9238, 0
18/12/2024, 9072, 0
19/12/2024, 6574, 0
20/12/2024, 5221, 0
21/12/2024, 2833, 0
22/12/2024, 7283, 0
23/12/2024, 9892, 0
24/12/2024, 3631, 0
25/12/2024, 5831, 0
26/12/2024, 6505, 0
27/12/2024, 4363, 0
28/12/2024, 3655, 0
29/12/2024, 1136, 0
30/12/2024, 2212, 0
31/12/2024, 2415, 1
01/01/2025, 1979, 1
02/01/2025, 3350, 1
03/01/2025, 1650, 1
04/01/2025, 4384, 1
05/01/2025, 2798, 1
06/01/2025, 3227, 1
07/01/2025, 6824, 1
08/01/2025, 2091, 1

